SepalLengthCm,SepalWidthMm,PetalLengthCm,PetalWidthCm,State
5.1,35.0,1.4,0.2,wet
4.9,30.0,1.4,0.2,dry
4.7,32.0,1.3,0.2,dry
4.6,31.0,1.5,0.2,wet
5.0,36.0,1.4,0.2,dry
5.4,39.0,1.7,0.4,wet
4.6,34.0,1.4,0.3,wet
5.0,34.0,1.5,0.2,dry
4.4,29.0,1.4,0.2,dry
4.9,31.0,1.5,0.1,wet
50.4,37.0,1.5,0.2,dry
4.8,34.0,1.6,0.2,dry
4.8,30.0,1.4,0.1,wet
4.3,30.0,1.1,0.1,wet
5.8,40.0,1.2,0.2,wet
5.7,44.0,1.5,0.4,wet
5.4,39.0,1.3,0.4,dry
5.1,35.0,1.4,0.3,wet
5.7,38.0,1.7,0.3,dry
5.1,38.0,1.5,0.3,dry
5.4,34.0,1.7,0.2,dry
5.1,37.0,1.5,0.4,wet
4.6,36.0,1.0,0.2,dry
5.1,33.0,,0.5,wet
4.8,34.0,1.9,0.2,wet
5.0,30.0,1.6,0.2,dry
5.0,34.0,1.6,0.4,dry
5.2,35.0,1.5,0.2,dry
5.2,34.0,1.4,0.2,dry
4.7,32.0,1.6,0.2,dry
4.8,31.0,1.6,0.2,wet
5.4,34.0,1.5,0.4,dry
5.2,41.0,1.5,0.1,wet
5.5,42.0,1.4,0.2,dry
4.9,31.0,1.5,0.2,dry
5.0,32.0,1.2,0.2,dry
5.5,35.0,1.3,0.2,wet
4.9,36.0,1.4,0.1,dry
4.4,30.0,1.3,0.2,wet
5.1,34.0,1.5,0.2,dry
5.0,35.0,1.3,0.3,wet
4.5,23.0,1.3,0.3,wet
4.4,32.0,,0.2,dry
5.0,35.0,1.6,0.6,wet
5.1,38.0,1.9,0.4,dry
4.8,30.0,,0.3,wet
5.1,38.0,1.6,0.2,dry
4.6,32.0,1.4,0.2,dry
5.3,37.0,1.5,0.2,wet
5.0,33.0,1.4,0.2,wet
7.0,32.0,4.7,1.4,wet
6.4,32.0,4.5,1.5,dry
6.9,31.0,4.9,1.5,dry
5.5,23.0,4.0,1.3,wet
6.5,28.0,4.6,1.5,wet
5.7,28.0,4.5,1.3,dry
6.3,33.0,4.7,1.6,dry
